teryt,municipality,county,voivodeship
0201011,Bolesławiec,bolesławiecki,dolnośląskie
0201022,Bolesławiec,bolesławiecki,dolnośląskie
0201032,Gromadka,bolesławiecki,dolnośląskie
0201043,Nowogrodziec,bolesławiecki,dolnośląskie
0201052,Osiecznica,bolesławiecki,dolnośląskie
0201062,Warta Bolesławiecka,bolesławiecki,dolnośląskie
0202011,Bielawa,dzierżoniowski,dolnośląskie
0202021,Dzierżoniów,dzierżoniowski,dolnośląskie
0202033,Pieszyce,dzierżoniowski,dolnośląskie
0202041,Piława Górna,dzierżoniowski,dolnośląskie
0202052,Dzierżoniów,dzierżoniowski,dolnośląskie
0202062,Łagiewniki,dzierżoniowski,dolnośląskie
0202073,Niemcza,dzierżoniowski,dolnośląskie
0203011,Głogów,głogowski,dolnośląskie
0203022,Głogów,głogowski,dolnośląskie
0203032,Jerzmanowa,głogowski,dolnośląskie
0203042,Kotla,głogowski,dolnośląskie
0203052,Pęcław,głogowski,dolnośląskie
0203062,Żukowice,głogowski,dolnośląskie
0204013,Góra,górowski,dolnośląskie
0204022,Jemielno,górowski,dolnośląskie
0204032,Niechlów,górowski,dolnośląskie
0204043,Wąsosz,górowski,dolnośląskie
0205011,Jawor,jaworski,dolnośląskie
0205023,Bolków,jaworski,dolnośląskie
0205032,Męcinka,jaworski,dolnośląskie
0205042,Mściwojów,jaworski,dolnośląskie
0205052,Paszowice,jaworski,dolnośląskie
0205062,Wądroże Wielkie,jaworski,dolnośląskie
0206011,Karpacz,karkonoski[a],dolnośląskie
0206021,Kowary,karkonoski[a],dolnośląskie
0206031,Piechowice,karkonoski[a],dolnośląskie
0206041,Szklarska Poręba,karkonoski[a],dolnośląskie
0206052,Janowice Wielkie,karkonoski[a],dolnośląskie
0206062,Jeżów Sudecki,karkonoski[a],dolnośląskie
0206072,Mysłakowice,karkonoski[a],dolnośląskie
0206082,Podgórzyn,karkonoski[a],dolnośląskie
0206092,Stara Kamienica,karkonoski[a],dolnośląskie
0207011,Kamienna Góra,kamiennogórski,dolnośląskie
0207022,Kamienna Góra,kamiennogórski,dolnośląskie
0207033,Lubawka,kamiennogórski,dolnośląskie
0207042,Marciszów,kamiennogórski,dolnośląskie
0208011,Duszniki-Zdrój,kłodzki,dolnośląskie
0208021,Kłodzko,kłodzki,dolnośląskie
0208031,Kudowa-Zdrój,kłodzki,dolnośląskie
0208041,Nowa Ruda,kłodzki,dolnośląskie
0208051,Polanica-Zdrój,kłodzki,dolnośląskie
0208063,Bystrzyca Kłodzka,kłodzki,dolnośląskie
0208072,Kłodzko,kłodzki,dolnośląskie
0208083,Lądek-Zdrój,kłodzki,dolnośląskie
0208092,Lewin Kłodzki,kłodzki,dolnośląskie
0208103,Międzylesie,kłodzki,dolnośląskie
0208112,Nowa Ruda,kłodzki,dolnośląskie
0208123,Radków,kłodzki,dolnośląskie
0208133,Stronie Śląskie,kłodzki,dolnośląskie
0208143,Szczytna,kłodzki,dolnośląskie
0209011,Chojnów,legnicki,dolnośląskie
0209022,Chojnów,legnicki,dolnośląskie
0209032,Krotoszyce,legnicki,dolnośląskie
0209042,Kunice,legnicki,dolnośląskie
0209052,Legnickie Pole,legnicki,dolnośląskie
0209062,Miłkowice,legnicki,dolnośląskie
0209073,Prochowice,legnicki,dolnośląskie
0209082,Ruja,legnicki,dolnośląskie
0210011,Lubań,lubański,dolnośląskie
0210021,Świeradów-Zdrój,lubański,dolnośląskie
0210033,Leśna,lubański,dolnośląskie
0210042,Lubań,lubański,dolnośląskie
0210053,Olszyna,lubański,dolnośląskie
0210062,Platerówka,lubański,dolnośląskie
0210072,Siekierczyn,lubański,dolnośląskie
0211011,Lubin,lubiński,dolnośląskie
0211022,Lubin,lubiński,dolnośląskie
0211032,Rudna,lubiński,dolnośląskie
0211043,Ścinawa,lubiński,dolnośląskie
0212013,Gryfów Śląski,lwówecki,dolnośląskie
0212023,Lubomierz,lwówecki,dolnośląskie
0212033,Lwówek Śląski,lwówecki,dolnośląskie
0212043,Mirsk,lwówecki,dolnośląskie
0212053,Wleń,lwówecki,dolnośląskie
0213012,Cieszków,milicki,dolnośląskie
0213022,Krośnice,milicki,dolnośląskie
0213033,Milicz,milicki,dolnośląskie
0214011,Oleśnica,oleśnicki,dolnośląskie
0214023,Bierutów,oleśnicki,dolnośląskie
0214032,Dobroszyce,oleśnicki,dolnośląskie
0214042,Dziadowa Kłoda,oleśnicki,dolnośląskie
0214053,Międzybórz,oleśnicki,dolnośląskie
0214062,Oleśnica,oleśnicki,dolnośląskie
0214073,Syców,oleśnicki,dolnośląskie
0214083,Twardogóra,oleśnicki,dolnośląskie
0215011,Oława,oławski,dolnośląskie
0215022,Domaniów,oławski,dolnośląskie
0215033,Jelcz-Laskowice,oławski,dolnośląskie
0215042,Oława,oławski,dolnośląskie
0216013,Chocianów,polkowicki,dolnośląskie
0216022,Gaworzyce,polkowicki,dolnośląskie
0216032,Grębocice,polkowicki,dolnośląskie
0216043,Polkowice,polkowicki,dolnośląskie
0216053,Przemków,polkowicki,dolnośląskie
0216062,Radwanice,polkowicki,dolnośląskie
0217012,Borów,strzeliński,dolnośląskie
0217022,Kondratowice,strzeliński,dolnośląskie
0217032,Przeworno,strzeliński,dolnośląskie
0217043,Strzelin,strzeliński,dolnośląskie
0217053,Wiązów,strzeliński,dolnośląskie
0218012,Kostomłoty,średzki,dolnośląskie
0218022,Malczyce,średzki,dolnośląskie
0218032,Miękinia,średzki,dolnośląskie
0218043,Środa Śląska,średzki,dolnośląskie
0218052,Udanin,średzki,dolnośląskie
0219011,Świdnica,świdnicki,dolnośląskie
0219021,Świebodzice,świdnicki,dolnośląskie
0219032,Dobromierz,świdnicki,dolnośląskie
0219043,Jaworzyna Śląska,świdnicki,dolnośląskie
0219052,Marcinowice,świdnicki,dolnośląskie
0219063,Strzegom,świdnicki,dolnośląskie
0219072,Świdnica,świdnicki,dolnośląskie
0219083,Żarów,świdnicki,dolnośląskie
0220013,Oborniki Śląskie,trzebnicki,dolnośląskie
0220023,Prusice,trzebnicki,dolnośląskie
0220033,Trzebnica,trzebnicki,dolnośląskie
0220042,Wisznia Mała,trzebnicki,dolnośląskie
0220052,Zawonia,trzebnicki,dolnośląskie
0220063,Żmigród,trzebnicki,dolnośląskie
0221011,Boguszów-Gorce,wałbrzyski,dolnośląskie
0221021,Jedlina-Zdrój,wałbrzyski,dolnośląskie
0221031,Szczawno-Zdrój,wałbrzyski,dolnośląskie
0221042,Czarny Bór,wałbrzyski,dolnośląskie
0221053,Głuszyca,wałbrzyski,dolnośląskie
0221063,Mieroszów,wałbrzyski,dolnośląskie
0221072,Stare Bogaczowice,wałbrzyski,dolnośląskie
0221082,Walim,wałbrzyski,dolnośląskie
0222013,Brzeg Dolny,wołowski,dolnośląskie
0222022,Wińsko,wołowski,dolnośląskie
0222033,Wołów,wołowski,dolnośląskie
0223012,Czernica,wrocławski,dolnośląskie
0223022,Długołęka,wrocławski,dolnośląskie
0223032,Jordanów Śląski,wrocławski,dolnośląskie
0223043,Kąty Wrocławskie,wrocławski,dolnośląskie
0223052,Kobierzyce,wrocławski,dolnośląskie
0223062,Mietków,wrocławski,dolnośląskie
0223073,Sobótka,wrocławski,dolnośląskie
0223083,Siechnice,wrocławski,dolnośląskie
0223092,Żórawina,wrocławski,dolnośląskie
0224013,Bardo,ząbkowicki,dolnośląskie
0224022,Ciepłowody,ząbkowicki,dolnośląskie
0224033,Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie
0224042,Stoszowice,ząbkowicki,dolnośląskie
0224053,Ząbkowice Śląskie,ząbkowicki,dolnośląskie
