PNA;CITY;ADRESS;WOJ;MUN;COU;Concat;Test
26-212; Adamów;smyków konecki;świętokrzyskie;smyków;konecki;smyków konecki;PRAWDA
27-540; Adamów;lipnik opatowski;świętokrzyskie;lipnik;opatowski;lipnik opatowski;PRAWDA
27-500; Adamów;opatów opatowski;świętokrzyskie;opatów;opatowski;opatów opatowski;PRAWDA
27-230; Adamów;brody starachowicki;świętokrzyskie;brody;starachowicki;brody starachowicki;PRAWDA
62-590; Adamów (Spławie-Stacja Kolejowa);golina koniński;wielkopolskie;golina;koniński;golina koniński;PRAWDA
62-590; Adamów;golina koniński;wielkopolskie;golina;koniński;golina koniński;PRAWDA
62-590; Adamów (Adamów-Kolonia);golina koniński;wielkopolskie;golina;koniński;golina koniński;PRAWDA
62-513; Adamów;krzymów koniński;wielkopolskie;krzymów;koniński;krzymów koniński;PRAWDA
05-651; Adamów Drwalewski;chynów grójecki;mazowieckie;grójec;grójecki;grójec grójecki;FA�SZ
05-650; Adamów Rososki;chynów grójecki;mazowieckie;grójec;grójecki;grójec grójecki;FA�SZ
05-152; Adamówek;czosnów nowodworski;mazowieckie;czosnów;nowodworski;czosnów nowodworski;PRAWDA
96-320; Adamówek;mszczonów żyrardowski;mazowieckie;mszczonów;żyrardowski;mszczonów żyrardowski;PRAWDA
22-335; Adamówka;żółkiewka krasnostawski;lubelskie;żółkiewka;krasnostawski;żółkiewka krasnostawski;PRAWDA
37-534; Adamówka;adamówka przeworski;podkarpackie;przeworsk;przeworski;przeworsk przeworski;FA�SZ
28-236; Adamówka;rytwiany staszowski;świętokrzyskie;rytwiany;staszowski;rytwiany staszowski;PRAWDA
96-325; Adamów-Parcel;radziejowice żyrardowski;mazowieckie;radziejowice;żyrardowski;radziejowice żyrardowski;PRAWDA
96-325; Adamów-Wieś;radziejowice żyrardowski;mazowieckie;radziejowice;żyrardowski;radziejowice żyrardowski;PRAWDA
22-200; Adampol;wyryki włodawski;lubelskie;wyryki;włodawski;wyryki włodawski;PRAWDA
07-120; Adampol;korytnica węgrowski;mazowieckie;korytnica;węgrowski;korytnica węgrowski;PRAWDA
05-281; Adampol;jadów wołomiński;mazowieckie;jadów;wołomiński;jadów wołomiński;PRAWDA
18-525; Adamusy;turośl kolneński;podlaskie;turośl;kolneński;turośl kolneński;PRAWDA
07-230; Adelin;zabrodzie wyszkowski;mazowieckie;zabrodzie;wyszkowski;zabrodzie wyszkowski;PRAWDA
07-230; Adelin (Grzegorzewo);zabrodzie wyszkowski;mazowieckie;zabrodzie;wyszkowski;zabrodzie wyszkowski;PRAWDA
22-546; Adelina;werbkowice hrubieszowski;lubelskie;werbkowice;hrubieszowski;werbkowice hrubieszowski;PRAWDA
24-350; Adelina;chodel opolski;lubelskie;chodel;opolski;chodel opolski;PRAWDA
97-330; Adelinów;sulejów piotrkowski;łódzkie;sulejów;piotrkowski;sulejów piotrkowski;PRAWDA
26-260; Adelinów;fałków konecki;świętokrzyskie;koneck;konecki;koneck konecki;FA�SZ
22-130; Adolfin;siedliszcze chełmski;lubelskie;siedliszcze;chełmski;siedliszcze chełmski;PRAWDA
26-670; Adolfin;pionki radomski;mazowieckie;radom;radomski;radom radomski;FA�SZ
97-340; Adolfinów;rozprza piotrkowski;łódzkie;rozprza;piotrkowski;rozprza piotrkowski;PRAWDA
62-068; Adolfowo;rakoniewice grodziski;wielkopolskie;rakoniewice;grodziski;rakoniewice grodziski;PRAWDA
95-100; Adolfów;zgierz zgierski;łódzkie;zgierz;zgierski;zgierz zgierski;PRAWDA
08-322; Adolfów;ceranów sokołowski;mazowieckie;koło;sokołowski;koło sokołowski;FA�SZ
26-330; Afryka;żarnów opoczyński;łódzkie;żarnów;opoczyński;żarnów opoczyński;PRAWDA
23-230; Agatówka;trzydnik duży kraśnicki;lubelskie;trzydnik duży;kraśnicki;trzydnik duży kraśnicki;PRAWDA
37-450; Agatówka;zaleszany stalowowolski;podkarpackie;zaleszany;stalowowolski;zaleszany stalowowolski;PRAWDA
87-890; Agnieszkowo;lubraniec włocławski;kujawsko-pomorskie;lubraniec;włocławski;lubraniec włocławski;PRAWDA
09-227; Agnieszkowo;szczutowo sierpecki;mazowieckie;szczutowo;sierpecki;szczutowo sierpecki;PRAWDA
97-212; Agnopol;budziszewice tomaszowski;łódzkie;budziszewice;tomaszowski;budziszewice tomaszowski;PRAWDA
16-424; Agrafinówka;filipów suwalski;podlaskie;filipów;suwalski;filipów suwalski;PRAWDA
37-734; Aksmanice;fredropol przemyski;podkarpackie;fredropol;przemyski;fredropol przemyski;PRAWDA
26-067; Akwizgran;strawczyn kielecki;świętokrzyskie;strawczyn;kielecki;strawczyn kielecki;PRAWDA
62-065; Albertowsko;grodzisk wielkopolski grodziski;wielkopolskie;grodzisk wielkopolski;opolski;grodzisk wielkopolski opolski;FA�SZ
21-013; Albertów;puchaczów łęczyński;lubelskie;puchaczów;łęczyński;puchaczów łęczyński;PRAWDA
95-083; Albertów;lutomiersk pabianicki;łódzkie;lutomiersk;pabianicki;lutomiersk pabianicki;PRAWDA
97-217; Albertów;lubochnia tomaszowski;łódzkie;lubochnia;tomaszowski;lubochnia tomaszowski;PRAWDA
97-221; Albertów;rokiciny tomaszowski;łódzkie;rokiciny;tomaszowski;rokiciny tomaszowski;PRAWDA
42-165; Albertów;lipie kłobucki;śląskie;lipie;kłobucki;lipie kłobucki;PRAWDA
62-700; Albertów;turek turecki;wielkopolskie;turek;turecki;turek turecki;PRAWDA
37-122; Albigowa;łańcut łańcucki;podkarpackie;łańcut;łańcucki;łańcut łańcucki;PRAWDA
95-015; Albinów;głowno zgierski;łódzkie;głowno;zgierski;głowno zgierski;PRAWDA
08-122; Albinów;kotuń siedlecki;mazowieckie;siedlec;siedlecki;siedlec siedlecki;FA�SZ
08-330; Albinów;kosów lacki sokołowski;mazowieckie;koło;sokołowski;koło sokołowski;FA�SZ
23-450; Albinów Duży;goraj biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;PRAWDA
23-450; Albinów Mały;goraj biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;PRAWDA
95-035; Aleksandria;ozorków zgierski;łódzkie;ozorków;zgierski;ozorków zgierski;PRAWDA
05-192;" Aleksandria,""4-6, 7-9(n), Nowe Miasto płoński"",mazowieckie";ozorków zgierski;łódzkie;ozorków;zgierski;ozorków zgierski;PRAWDA
05-192;" Aleksandria,""4-6, 7-9(n), Nowe Miasto płoński"",mazowieckie";gru.15;łódzkie;;; ;FA�SZ
09-120;" Aleksandria,""8-10(p), 11, 31 Nowe Miasto płoński"",mazowieckie";gru.15;łódzkie;;; ;FA�SZ
96-330; Aleksandria;puszcza mariańska żyrardowski;mazowieckie;puszcza mariańska;żyrardowski;puszcza mariańska żyrardowski;PRAWDA
42-274; Aleksandria (Aleksandria Druga);konopiska częstochowski;śląskie;konopiska;częstochowski;konopiska częstochowski;PRAWDA
42-274; Aleksandria (Aleksandria Pierwsza);konopiska częstochowski;śląskie;konopiska;częstochowski;konopiska częstochowski;PRAWDA
62-874; Aleksandria;brzeziny kaliski;wielkopolskie;brzeziny;kaliski;brzeziny kaliski;PRAWDA
22-360; Aleksandria Krzywowolska;rejowiec chełmski;lubelskie;rejowiec;chełmski;rejowiec chełmski;PRAWDA
22-360; Aleksandria Niedziałowska;rejowiec chełmski;lubelskie;rejowiec;chełmski;rejowiec chełmski;PRAWDA
56-160; Aleksandrowice;wińsko wołowski;dolnośląskie;wińsko;wołowski;wińsko wołowski;PRAWDA
32-084; Aleksandrowice;zabierzów krakowski;małopolskie;zabierzów;krakowski;zabierzów krakowski;PRAWDA
86-022; Aleksandrowiec;dobrcz bydgoski;kujawsko-pomorskie;dobrcz;bydgoski;dobrcz bydgoski;PRAWDA
86-022; Aleksandrowo;dobrcz bydgoski;kujawsko-pomorskie;dobrcz;bydgoski;dobrcz bydgoski;PRAWDA
87-880; Aleksandrowo;brześć kujawski włocławski;kujawsko-pomorskie;brześć kujawski;włocławski;brześć kujawski włocławski;PRAWDA
88-192; Aleksandrowo;barcin żniński;kujawsko-pomorskie;barcin;żniński;barcin żniński;PRAWDA
07-402; Aleksandrowo;lelis ostrołęcki;mazowieckie;lelis;ostrołęcki;lelis ostrołęcki;PRAWDA
07-405; Aleksandrowo;troszyn ostrołęcki;mazowieckie;troszyn;ostrołęcki;troszyn ostrołęcki;PRAWDA
09-440; Aleksandrowo;staroźreby płocki;mazowieckie;staroźreby;płocki;staroźreby płocki;PRAWDA
06-330; Aleksandrowo;chorzele przasnyski;mazowieckie;chorzele;przasnyski;chorzele przasnyski;PRAWDA
16-503; Aleksandrowo;krasnopol sejneński;podlaskie;krasnopol;sejneński;krasnopol sejneński;PRAWDA
17-315; Aleksandrowo;grodzisk siemiatycki;podlaskie;grodzisk;siemiatycki;grodzisk siemiatycki;PRAWDA
