PNA,CITY,ADRESS,WOJ,COU,ADRESS_2,MUN
26-212, Adamów,smyków konecki,świętokrzyskie,konecki,smyków ,smyków
27-540, Adamów,lipnik opatowski,świętokrzyskie,opatowski,lipnik ,lipnik
27-500, Adamów,opatów opatowski,świętokrzyskie,opatowski,opatów ,opatów
27-230, Adamów,brody starachowicki,świętokrzyskie,starachowicki,brody ,brody
62-590, Adamów (Spławie-Stacja Kolejowa),golina koniński,wielkopolskie,koniński,golina ,golina
62-590, Adamów,golina koniński,wielkopolskie,koniński,golina ,golina
62-590, Adamów (Adamów-Kolonia),golina koniński,wielkopolskie,koniński,golina ,golina
62-513, Adamów,krzymów koniński,wielkopolskie,koniński,krzymów ,krzymów
05-651, Adamów Drwalewski,chynów grójecki,mazowieckie,grójecki,chynów ,chynów
05-650, Adamów Rososki,chynów grójecki,mazowieckie,grójecki,chynów ,chynów
05-152, Adamówek,czosnów nowodworski,mazowieckie,nowodworski,czosnów ,czosnów
96-320, Adamówek,mszczonów żyrardowski,mazowieckie,żyrardowski,mszczonów ,mszczonów
22-335, Adamówka,żółkiewka krasnostawski,lubelskie,krasnostawski,żółkiewka ,żółkiewka
37-534, Adamówka,adamówka przeworski,podkarpackie,przeworski,adamówka ,adamówka
28-236, Adamówka,rytwiany staszowski,świętokrzyskie,staszowski,rytwiany ,rytwiany
96-325, Adamów-Parcel,radziejowice żyrardowski,mazowieckie,żyrardowski,radziejowice ,radziejowice
96-325, Adamów-Wieś,radziejowice żyrardowski,mazowieckie,żyrardowski,radziejowice ,radziejowice
22-200, Adampol,wyryki włodawski,lubelskie,włodawski,wyryki ,wyryki
07-120, Adampol,korytnica węgrowski,mazowieckie,węgrowski,korytnica ,korytnica
05-281, Adampol,jadów wołomiński,mazowieckie,wołomiński,jadów ,jadów
18-525, Adamusy,turośl kolneński,podlaskie,kolneński,turośl ,turośl
07-230, Adelin,zabrodzie wyszkowski,mazowieckie,wyszkowski,zabrodzie ,zabrodzie
07-230, Adelin (Grzegorzewo),zabrodzie wyszkowski,mazowieckie,wyszkowski,zabrodzie ,zabrodzie
