terc,city,rm,mz,sym,sympod
0211022,Chróstnik,1,1,365210,365210
0211022,Czerniec,1,1,365227,365227
0211022,Miłoradzice,1,1,365374,365374
0211022,Miłosna,1,1,365380,365380
0211022,Miroszowice,1,1,365397,365397
0220065,Chodlewo,1,1,884051,884051
0213035,Postolin,1,1,878116,878116
0214075,Działosza,1,1,209438,209438
0214075,Gaszowice,1,1,209467,209467
0223045,Górzyce,1,1,874970,874970
0223045,Kębłowice,1,1,874992,874992
0217022,Komorowice,1,1,875796,875796
0217022,Zarzyca,1,1,875939,875939
0217022,Żelowice,1,1,875945,875945
0225052,Bierna,1,1,192442,192442
0202062,Trzebnik,1,1,876880,876880
0202075,Kietlin,1,1,853910,853910
0225052,Studniska Górne,1,1,192590,192590
0204032,Bełcz Wielki,1,1,373534,373534
0204032,Głobice,1,1,373557,373557
0224042,Lutomierz,1,1,855440,855440
0204032,Lipowiec,1,1,373570,373570
0224042,Żdanów,1,1,855530,855530
0204032,Żabin,1,1,373729,373729
0204045,Chocieborowice,1,1,377087,377087
0201022,Kraśnik Górny,1,1,189090,189090
0201022,Krępnica,1,1,189121,189121
0201022,Stara Oleszna,1,1,189279,189279
0221055,Grzmiąca,1,1,852430,852430
0221065,Łączna,1,1,853607,853607
0221065,Rybnica Leśna,1,1,853636,853636
0212035,Górczyca,1,1,190816,190816
0212035,Nagórze,1,1,190851,190851
0218032,Czerna,1,1,877217,877217
0218032,Mrozów,1,1,877447,877447
0218032,Piskorzowice,1,1,877482,877482
0217032,Jegłowa,1,1,854676,854676
0217032,Krzywina,1,1,854736,854736
0217045,Nowolesie,1,1,880573,880573
0217045,Pęcz,1,1,880604,880604
0208072,Jaszkówka,1,1,852832,852832
0208072,Romanowo,1,1,852980,852980
0208072,Szalejów Górny,1,1,853040,853040
0208072,Wojciechowice,1,1,853116,853116
0203042,Głogówko,1,1,364452,364452
0203062,Domaniowice,1,1,368830,368830
0203062,Kamiona,1,1,368869,368869
0203062,Kłoda,1,1,368875,368875
0208145,Niwa,1,1,855931,855931
0209052,Taczalin,1,1,365180,365180
0213035,Sławoszowice,1,1,878257,878257
0213035,Sulimierz,1,1,878292,878292
0209062,Dobrzejów,1,1,365760,365760
0209062,Jakuszów,1,1,365813,365813
0213035,Tworzymirki,1,1,878330,878330
0209022,Osetnica,1,1,363518,363518
0217045,Bierzyn,1,1,880308,880308
0219085,Przyłęgów,1,1,857172,857172
0220015,Osola,1,1,878702,878702
0220015,Osolin,1,1,878719,878719
0203022,Szczyglice,1,1,363889,363889
0219065,Żelazów,1,1,855888,855888
0219085,Zastruże,1,1,857226,857226
0214042,Lipka,1,1,197110,197110
0219072,Bystrzyca Górna,1,1,856020,856020
0214042,Radzowice,1,1,197132,197132
0214055,Kraszów,1,1,203619,203619
0223032,Winna Góra,1,1,874851,874851
0219072,Krzyżowa,1,1,856095,856095
0219072,Makowice,1,1,856161,856161
0219072,Słotwina,1,1,856250,856250
0219072,Sulisławice,1,1,856273,856273
0209075,Rogów Legnicki,1,1,366764,366764
0205062,Wądroże Małe,1,1,368326,368326
0223075,Garncarsko,1,1,880047,880047
0209082,Usza,1,1,367568,367568
0223075,Mirosławice,1,1,880107,880107
0209082,Wągrodno,1,1,367574,367574
0220035,Blizocin,1,1,881331,881331
0220035,Boleścin,1,1,881348,881348
0214062,Brzezinka,1,1,878910,878910
0220035,Ujeżdziec Wielki,1,1,881740,881740
0220042,Ligota Piękna,1,1,883005,883005
0213012,Jawor,1,1,873308,873308
0219072,Witoszów Górny,1,1,856327,856327
0213012,Słabocin,1,1,873389,873389
0213012,Trzebicko Dolne,1,1,873449,873449
0219085,Bożanów,1,1,857048,857048
0213022,Bukowice,1,1,876301,876301
0223062,Maniów Mały,1,1,877068,877068
0223062,Proszkowice,1,1,877111,877111
0223085,Sulimów,1,1,881207,881207
0219085,Kruków,1,1,857108,857108
0213022,Grabownica,1,1,876382,876382
0213022,Kużnica Czeszycka,1,1,876436,876436
0213022,Łazy Wielkie,1,1,876471,876471
0213022,Wierzchowice,1,1,876650,876650
0207022,Pisarzowice,1,1,189977,189977
0210042,Uniegoszcz,1,1,190437,190437
0214025,Karwiniec,1,1,872579,872579
0220052,Pęciszów,1,1,883755,883755
0213035,Wodników Górny,1,1,878429,878429
0222035,Tarchalice,1,1,883531,883531
0213035,Wszewilki,1,1,878493,878493
0223022,Kątna,1,1,873834,873834
0223022,Kiełczówek,1,1,873863,873863
0223092,Krajków,1,1,884625,884625
0220035,Komorówko,1,1,881495,881495
0223045,Kilianów,1,1,875000,875000
0220035,Księginice,1,1,881532,881532
0223045,Romnów,1,1,875112,875112
0223045,Sadowice,1,1,875158,875158
0220035,Ligota,1,1,881555,881555
0223032,Popowice,1,1,874816,874816
0226045,Nowy Kościół,1,1,192726,192726
0206072,Karpniki,1,1,191394,191394
0222022,Brzózka,1,1,882520,882520
0208085,Konradów,1,1,853145,853145
0208085,Radochów,1,1,853174,853174
0223022,Brzezia Łąka,1,1,873685,873685
0204015,Radosław,1,1,370317,370317
0204015,Ryczeń,1,1,370346,370346
0204015,Sławęcice,1,1,370375,370375
0206072,Wojanów,1,1,191460,191460
0206082,Głębock,1,1,192063,192063
0222015,Naborów,1,1,873053,873053
0222015,Radecz,1,1,873099,873099
0224065,Henryków,1,1,856741,856741
0217045,Gęsiniec,1,1,880395,880395
0208065,Lasówka,1,1,851382,851382
0222022,Krzelów,1,1,882709,882709
0207042,Marciszów,1,1,191052,191052
0222022,Staszowice,1,1,882891,882891
0222022,Stryjno,1,1,882900,882900
0216015,Jabłonów,1,1,363139,363139
0222035,Golina,1,1,883212,883212
0222035,Krzydlina Mała,1,1,883235,883235
0222035,Łazarzowice,1,1,883270,883270
0222035,Nieszkowice,1,1,883353,883353
0222035,Stęszów,1,1,883471,883471
0215022,Gęsice,1,1,874325,874325
0207022,Czadrów,1,1,189836,189836
0207022,Dobromyśl,1,1,189865,189865
0207022,Jawiszów,1,1,189894,189894
0217012,Jaksin,1,1,872823,872823
0217012,Kręczków,1,1,872875,872875
0216022,Kożlice,1,1,363748,363748
0217012,Ludów Śląski,1,1,872898,872898
0218052,Lusina,1,1,367924,367924
0219032,Jugowa,1,1,852080,852080
0208092,Dańczów,1,1,853234,853234
0216045,Trzebcz,1,1,366630,366630
0216055,Karpie,1,1,366824,366824
0217012,Boguszyce,1,1,872757,872757
