Poczta Polska S.A. Oficjalny Spis Pocztowych Numerów Adresowych - styczeń 2021,Unnamed: 0,Strona 3 / 1747 ADA
PNA Miejscowość Ulica,Numery Gmina Powiat,Województwo
26-212 Adamów,Smyków konecki,świętokrzyskie
27-540 Adamów,Lipnik opatowski,świętokrzyskie
27-500 Adamów,Opatów opatowski,świętokrzyskie
27-230 Adamów,Brody starachowicki,świętokrzyskie
62-590 Adamów (Spławie-Stacja Kolejowa),Golina koniński,wielkopolskie
62-590 Adamów,Golina koniński,wielkopolskie
62-590 Adamów (Adamów-Kolonia),Golina koniński,wielkopolskie
62-513 Adamów,Krzymów koniński,wielkopolskie
05-651 Adamów Drwalewski,Chynów grójecki,mazowieckie
05-650 Adamów Rososki,Chynów grójecki,mazowieckie
05-152 Adamówek,Czosnów nowodworski,mazowieckie
96-320 Adamówek,Mszczonów żyrardowski,mazowieckie
22-335 Adamówka,Żółkiewka krasnostawski,lubelskie
37-534 Adamówka,Adamówka przeworski,podkarpackie
28-236 Adamówka,Rytwiany staszowski,świętokrzyskie
96-325 Adamów-Parcel,Radziejowice żyrardowski,mazowieckie
96-325 Adamów-Wieś,Radziejowice żyrardowski,mazowieckie
22-200 Adampol,Wyryki włodawski,lubelskie
07-120 Adampol,Korytnica węgrowski,mazowieckie
05-281 Adampol,Jadów wołomiński,mazowieckie
18-525 Adamusy,Turośl kolneński,podlaskie
07-230 Adelin,Zabrodzie wyszkowski,mazowieckie
07-230 Adelin (Grzegorzewo),Zabrodzie wyszkowski,mazowieckie
22-546 Adelina,Werbkowice hrubieszowski,lubelskie
24-350 Adelina,Chodel opolski,lubelskie
97-330 Adelinów,Sulejów piotrkowski,łódzkie
26-260 Adelinów,Fałków konecki,świętokrzyskie
22-130 Adolfin,Siedliszcze chełmski,lubelskie
26-670 Adolfin,Pionki radomski,mazowieckie
97-340 Adolfinów,Rozprza piotrkowski,łódzkie
62-068 Adolfowo,Rakoniewice grodziski,wielkopolskie
95-100 Adolfów,Zgierz zgierski,łódzkie
08-322 Adolfów,Ceranów sokołowski,mazowieckie
26-330 Afryka,Żarnów opoczyński,łódzkie
23-230 Agatówka,Trzydnik Duży kraśnicki,lubelskie
37-450 Agatówka,Zaleszany stalowowolski,podkarpackie
87-890 Agnieszkowo,Lubraniec włocławski,kujawsko-pomorskie
09-227 Agnieszkowo,Szczutowo sierpecki,mazowieckie
97-212 Agnopol,Budziszewice tomaszowski,łódzkie
16-424 Agrafinówka,Filipów suwalski,podlaskie
37-734 Aksmanice,Fredropol przemyski,podkarpackie
26-067 Akwizgran,Strawczyn kielecki,świętokrzyskie
62-065 Albertowsko,Grodzisk Wielkopolski grodziski,wielkopolskie
21-013 Albertów,Puchaczów łęczyński,lubelskie
95-083 Albertów,Lutomiersk pabianicki,łódzkie
97-217 Albertów,Lubochnia tomaszowski,łódzkie
97-221 Albertów,Rokiciny tomaszowski,łódzkie
42-165 Albertów,Lipie kłobucki,śląskie
62-700 Albertów,Turek turecki,wielkopolskie
37-122 Albigowa,Łańcut łańcucki,podkarpackie
95-015 Albinów,Głowno zgierski,łódzkie
08-122 Albinów,Kotuń siedlecki,mazowieckie
08-330 Albinów,Kosów Lacki sokołowski,mazowieckie
23-450 Albinów Duży,Goraj biłgorajski,lubelskie
23-450 Albinów Mały,Goraj biłgorajski,lubelskie
95-035 Aleksandria,Ozorków zgierski,łódzkie
05-192 Aleksandria,"4-6, 7-9(n), Nowe Miasto płoński",mazowieckie
,12-15,
09-120 Aleksandria,"8-10(p), 11, 31 Nowe Miasto płoński",mazowieckie
96-330 Aleksandria,Puszcza Mariańska żyrardowski,mazowieckie
42-274 Aleksandria (Aleksandria Druga),Konopiska częstochowski,śląskie
42-274 Aleksandria (Aleksandria Pierwsza),Konopiska częstochowski,śląskie
62-874 Aleksandria,Brzeziny kaliski,wielkopolskie
22-360 Aleksandria Krzywowolska,Rejowiec chełmski,lubelskie
22-360 Aleksandria Niedziałowska,Rejowiec chełmski,lubelskie
56-160 Aleksandrowice,Wińsko wołowski,dolnośląskie
32-084 Aleksandrowice,Zabierzów krakowski,małopolskie
86-022 Aleksandrowiec,Dobrcz bydgoski,kujawsko-pomorskie
86-022 Aleksandrowo,Dobrcz bydgoski,kujawsko-pomorskie
87-880 Aleksandrowo,Brześć Kujawski włocławski,kujawsko-pomorskie
88-192 Aleksandrowo,Barcin żniński,kujawsko-pomorskie
07-402 Aleksandrowo,Lelis ostrołęcki,mazowieckie
07-405 Aleksandrowo,Troszyn ostrołęcki,mazowieckie
09-440 Aleksandrowo,Staroźreby płocki,mazowieckie
06-330 Aleksandrowo,Chorzele przasnyski,mazowieckie
16-503 Aleksandrowo,Krasnopol sejneński,podlaskie
17-315 Aleksandrowo,Grodzisk siemiatycki,podlaskie
16-423 Aleksandrowo,Bakałarzewo suwalski,podlaskie
12-250 Aleksandrowo,Orzysz piski,warmińsko-mazurskie
63-800 Aleksandrowo,Gostyń gostyński,wielkopolskie
