Poczta Polska S.A.,Oficjalny Spis Pocztowych Numerów Adresowych - styczeń 2021 Strona 823 / 1747,NIS
PNA Miejscowość,Ulica Numery Gmina Powiat,Województwo
09-230 Niszczyce,Bielsk płocki,mazowieckie
09-230 Niszczyce-Pieńki,Bielsk płocki,mazowieckie
12-230 Nitki,Biała Piska piski,warmińsko-mazurskie
57-322 Niwa,Szczytna kłodzki,dolnośląskie
24-105 Niwa,Baranów puławski,lubelskie
09-164 Niwa,Dzierzążnia płoński,mazowieckie
46-024 Niwa,Łubniany opolski,opolskie
08-500 Niwa Babicka,Ryki rycki,lubelskie
26-640 Niwa Odechowska,Skaryszew radomski,mazowieckie
66-446 Niwica,Deszczno gorzowski,lubuskie
68-210 Niwica,Trzebiel żarski,lubuskie
66-007 Niwiska,Nowogród Bobrzański zielonogórski,lubuskie
98-405 Niwiska,Galewice wieruszowski,łódzkie
36-147 Niwiska,Niwiska kolbuszowski,podkarpackie
98-330 Niwiska Dolne,Pajęczno pajęczański,łódzkie
98-330 Niwiska Górne,Pajęczno pajęczański,łódzkie
29-105 Niwiska Gruszczyńskie,Krasocin włoszczowski,świętokrzyskie
29-105 Niwiska Krasocińskie,Krasocin włoszczowski,świętokrzyskie
08-124 Niwiski,Mokobody siedlecki,mazowieckie
33-130 Niwka,Radłów tarnowski,małopolskie
78-550 Niwka,Czaplinek drawski,zachodniopomorskie
74-503 Niwka,Moryń gryfiński,zachodniopomorskie
89-504 Niwki,Tuchola tucholski,kujawsko-pomorskie
87-860 Niwki,Chodecz włocławski,kujawsko-pomorskie
33-264 Niwki,Olesno dąbrowski,małopolskie
26-700 Niwki,Zwoleń zwoleński,mazowieckie
46-100 Niwki,Namysłów namysłowski,opolskie
46-053 Niwki,Chrząstowice opolski,opolskie
47-100 Niwki,Strzelce Opolskie strzelecki,opolskie
37-620 Niwki,Horyniec-Zdrój lubaczowski,podkarpackie
42-270 Niwki,Kłomnice częstochowski,śląskie
62-652 Niwki,Chodów kolski,wielkopolskie
56-513 Niwki Kraszowskie,Międzybórz oleśnicki,dolnośląskie
56-513 Niwki Książęce,Międzybórz oleśnicki,dolnośląskie
62-652 Niwki Nowe,Chodów kolski,wielkopolskie
18-430 Niwkowo,Wizna łomżyński,podlaskie
96-200 Niwna,Rawa Mazowiecka rawski,łódzkie
48-321 Niwnica,Nysa nyski,opolskie
59-600 Niwnice,Lwówek Śląski lwówecki,dolnośląskie
55-200 Niwnik,Oława oławski,dolnośląskie
86-031 Niwy,Osielsko bydgoski,kujawsko-pomorskie
89-430 Niwy,Kamień Krajeński sępoleński,kujawsko-pomorskie
66-520 Niwy,Dobiegniew strzelecko-drezdenecki,lubuskie
97-420 Niwy,Szczerców bełchatowski,łódzkie
97-352 Niwy,Łęki Szlacheckie piotrkowski,łódzkie
42-283 Niwy,Woźniki lubliniecki,śląskie
26-021 Niwy,Daleszyce kielecki,świętokrzyskie
72-343 Niwy,Karnice gryficki,zachodniopomorskie
97-306 Niwy Jutroszewskie,Grabica piotrkowski,łódzkie
05-660 Niwy Ostrołęckie,Warka grójecki,mazowieckie
78-400 Nizinne,Szczecinek szczecinecki,zachodniopomorskie
37-716 Niziny,Orły przemyski,podkarpackie
28-142 Niziny,Tuczępy buski,świętokrzyskie
28-305 Niziny,Sobków jędrzejowski,świętokrzyskie
18-208 Niziołki-Dobki,Kulesze Kościelne wysokomazowiecki,podlaskie
09-460 Niździn,Mała Wieś płocki,mazowieckie
98-355 Niżankowice,Działoszyn pajęczański,łódzkie
37-220 Niżatyce,Kańczuga przeworski,podkarpackie
38-455 Niżna Łąka,Miejsce Piastowe krośnieński,podkarpackie
32-420 Niżowa,Gdów wielicki,małopolskie
98-290 Nobela,Warta sieradzki,łódzkie
78-445 Nobliny,Borne Sulinowo szczecinecki,zachodniopomorskie
63-100 Nochowo,Śrem śremski,wielkopolskie
63-100 Nochówko,Śrem śremski,wielkopolskie
62-619 Nockie Holendry,Wierzbinek koniński,wielkopolskie
39-124 Nockowa,Iwierzyce ropczycko-,podkarpackie
,sędziszowski,
62-619 Noć,Wierzbinek koniński,wielkopolskie
86-320 Nogat,Łasin grudziądzki,kujawsko-pomorskie
82-335 Nogat,Gronowo Elbląskie elbląski,warmińsko-mazurskie
07-440 Nogawki,Goworowo ostrołęcki,mazowieckie
47-143 Nogowczyce,Ujazd strzelecki,opolskie
62-045 Nojewo,Pniewy szamotulski,wielkopolskie
07-120 Nojszew,Korytnica węgrowski,mazowieckie
16-100 Nomiki,Sokółka sokólski,podlaskie
19-404 Norki,Wieliczki olecki,warmińsko-mazurskie
19-404 Nory,Wieliczki olecki,warmińsko-mazurskie
63-640 Nosale,Bralin kępiński,wielkopolskie
97-570 Nosalewice,Przedbórz radomszczański,łódzkie
62-045 Nosalewo,Pniewy szamotulski,wielkopolskie
