WOJ	POW	GMI	RODZ	NAZWA	NAZWA_DOD	STAN_NA
2				DOLNOŒL¥SKIE	województwo	01.01.2021
2	1			boles³awiecki	powiat	01.01.2021
2	1	1	1	Boles³awiec	gmina miejska	01.01.2021
2	1	2	2	Boles³awiec	gmina wiejska	01.01.2021
2	1	3	2	Gromadka	gmina wiejska	01.01.2021
2	1	4	3	Nowogrodziec	gmina miejsko-wiejska	01.01.2021
2	1	4	4	Nowogrodziec	miasto	01.01.2021
2	1	4	5	Nowogrodziec	obszar wiejski	01.01.2021
2	1	5	2	Osiecznica	gmina wiejska	01.01.2021
2	1	6	2	Warta Boles³awiecka	gmina wiejska	01.01.2021
2	2			dzier¿oniowski	powiat	01.01.2021
2	2	1	1	Bielawa	gmina miejska	01.01.2021
2	2	2	1	Dzier¿oniów	gmina miejska	01.01.2021
2	2	3	3	Pieszyce	gmina miejsko-wiejska	01.01.2021
2	2	3	4	Pieszyce	miasto	01.01.2021
2	2	3	5	Pieszyce	obszar wiejski	01.01.2021
2	2	4	1	Pi³awa Górna	gmina miejska	01.01.2021
2	2	5	2	Dzier¿oniów	gmina wiejska	01.01.2021
2	2	6	2	£agiewniki	gmina wiejska	01.01.2021
2	2	7	3	Niemcza	gmina miejsko-wiejska	01.01.2021
2	2	7	4	Niemcza	miasto	01.01.2021
2	2	7	5	Niemcza	obszar wiejski	01.01.2021
2	3			g³ogowski	powiat	01.01.2021
2	3	1	1	G³ogów	gmina miejska	01.01.2021
2	3	2	2	G³ogów	gmina wiejska	01.01.2021
2	3	3	2	Jerzmanowa	gmina wiejska	01.01.2021
2	3	4	2	Kotla	gmina wiejska	01.01.2021
2	3	5	2	Pêc³aw	gmina wiejska	01.01.2021
2	3	6	2	¯ukowice	gmina wiejska	01.01.2021
2	4			górowski	powiat	01.01.2021
2	4	1	3	Góra	gmina miejsko-wiejska	01.01.2021
2	4	1	4	Góra	miasto	01.01.2021
2	4	1	5	Góra	obszar wiejski	01.01.2021
2	4	2	2	Jemielno	gmina wiejska	01.01.2021
2	4	3	2	Niechlów	gmina wiejska	01.01.2021
2	4	4	3	W¹sosz	gmina miejsko-wiejska	01.01.2021
2	4	4	4	W¹sosz	miasto	01.01.2021
2	4	4	5	W¹sosz	obszar wiejski	01.01.2021
2	5			jaworski	powiat	01.01.2021
2	5	1	1	Jawor	gmina miejska	01.01.2021
2	5	2	3	Bolków	gmina miejsko-wiejska	01.01.2021
2	5	2	4	Bolków	miasto	01.01.2021
2	5	2	5	Bolków	obszar wiejski	01.01.2021
2	5	3	2	Mêcinka	gmina wiejska	01.01.2021
2	5	4	2	Mœciwojów	gmina wiejska	01.01.2021
2	5	5	2	Paszowice	gmina wiejska	01.01.2021
2	5	6	2	W¹dro¿e Wielkie	gmina wiejska	01.01.2021
2	6			karkonoski	powiat	01.01.2021
2	6	1	1	Karpacz	gmina miejska	01.01.2021
2	6	2	1	Kowary	gmina miejska	01.01.2021
2	6	3	1	Piechowice	gmina miejska	01.01.2021
2	6	4	1	Szklarska Porêba	gmina miejska	01.01.2021
2	6	5	2	Janowice Wielkie	gmina wiejska	01.01.2021
2	6	6	2	Je¿ów Sudecki	gmina wiejska	01.01.2021
2	6	7	2	Mys³akowice	gmina wiejska	01.01.2021
2	6	8	2	Podgórzyn	gmina wiejska	01.01.2021
2	6	9	2	Stara Kamienica	gmina wiejska	01.01.2021
2	7			kamiennogórski	powiat	01.01.2021
2	7	1	1	Kamienna Góra	gmina miejska	01.01.2021
2	7	2	2	Kamienna Góra	gmina wiejska	01.01.2021
2	7	3	3	Lubawka	gmina miejsko-wiejska	01.01.2021
2	7	3	4	Lubawka	miasto	01.01.2021
2	7	3	5	Lubawka	obszar wiejski	01.01.2021
2	7	4	2	Marciszów	gmina wiejska	01.01.2021
2	8			k³odzki	powiat	01.01.2021
2	8	1	1	Duszniki-Zdrój	gmina miejska	01.01.2021
2	8	2	1	K³odzko	gmina miejska	01.01.2021
2	8	3	1	Kudowa-Zdrój	gmina miejska	01.01.2021
2	8	4	1	Nowa Ruda	gmina miejska	01.01.2021
2	8	5	1	Polanica-Zdrój	gmina miejska	01.01.2021
2	8	6	3	Bystrzyca K³odzka	gmina miejsko-wiejska	01.01.2021
2	8	6	4	Bystrzyca K³odzka	miasto	01.01.2021
2	8	6	5	Bystrzyca K³odzka	obszar wiejski	01.01.2021
2	8	7	2	K³odzko	gmina wiejska	01.01.2021
2	8	8	3	L¹dek-Zdrój	gmina miejsko-wiejska	01.01.2021
2	8	8	4	L¹dek-Zdrój	miasto	01.01.2021
2	8	8	5	L¹dek-Zdrój	obszar wiejski	01.01.2021
2	8	9	2	Lewin K³odzki	gmina wiejska	01.01.2021
2	8	10	3	Miêdzylesie	gmina miejsko-wiejska	01.01.2021
2	8	10	4	Miêdzylesie	miasto	01.01.2021
2	8	10	5	Miêdzylesie	obszar wiejski	01.01.2021
2	8	11	2	Nowa Ruda	gmina wiejska	01.01.2021
2	8	12	3	Radków	gmina miejsko-wiejska	01.01.2021
2	8	12	4	Radków	miasto	01.01.2021
2	8	12	5	Radków	obszar wiejski	01.01.2021
2	8	13	3	Stronie Œl¹skie	gmina miejsko-wiejska	01.01.2021
2	8	13	4	Stronie Œl¹skie	miasto	01.01.2021
2	8	13	5	Stronie Œl¹skie	obszar wiejski	01.01.2021
2	8	14	3	Szczytna	gmina miejsko-wiejska	01.01.2021
2	8	14	4	Szczytna	miasto	01.01.2021
2	8	14	5	Szczytna	obszar wiejski	01.01.2021
2	9			legnicki	powiat	01.01.2021
2	9	1	1	Chojnów	gmina miejska	01.01.2021
2	9	2	2	Chojnów	gmina wiejska	01.01.2021
2	9	3	2	Krotoszyce	gmina wiejska	01.01.2021
2	9	4	2	Kunice	gmina wiejska	01.01.2021
2	9	5	2	Legnickie Pole	gmina wiejska	01.01.2021
2	9	6	2	Mi³kowice	gmina wiejska	01.01.2021
2	9	7	3	Prochowice	gmina miejsko-wiejska	01.01.2021
2	9	7	4	Prochowice	miasto	01.01.2021
2	9	7	5	Prochowice	obszar wiejski	01.01.2021
2	9	8	2	Ruja	gmina wiejska	01.01.2021
2	10			lubañski	powiat	01.01.2021
2	10	1	1	Lubañ	gmina miejska	01.01.2021
2	10	2	1	Œwieradów-Zdrój	gmina miejska	01.01.2021
2	10	3	3	Leœna	gmina miejsko-wiejska	01.01.2021
2	10	3	4	Leœna	miasto	01.01.2021
2	10	3	5	Leœna	obszar wiejski	01.01.2021
2	10	4	2	Lubañ	gmina wiejska	01.01.2021
2	10	5	3	Olszyna	gmina miejsko-wiejska	01.01.2021
2	10	5	4	Olszyna	miasto	01.01.2021
2	10	5	5	Olszyna	obszar wiejski	01.01.2021
2	10	6	2	Platerówka	gmina wiejska	01.01.2021
